sdg_number,sdg_name,inclusion_patterns,exclusion_patterns
1,No Poverty,"poverty, poor, low income, financial hardship, economic disadvantage, income inequality","rich, wealthy, high income, luxury, affluence"
2,Zero Hunger,"hunger, food security, malnutrition, famine, food shortage, agriculture, crop production","food waste, overconsumption, obesity, gluttony"
3,Good Health and Well-being,"health, well-being, disease prevention, healthcare, medical, vaccination, mental health, hygiene","disease outbreak, pandemic, health crisis, epidemic"
4,Quality Education,"education, school, learning, literacy, educational, student, teacher, curriculum","illiteracy, dropout, educational inequality, school closure"
5,Gender Equality,"gender, equality, women, female, discrimination, empowerment, rights","gender discrimination, inequality, bias, sexism"
6,Clean Water and Sanitation,"water, sanitation, clean water, hygiene, wastewater, water quality","water pollution, contamination, water scarcity, drought"
7,Affordable and Clean Energy,"energy, renewable, solar, wind, electricity, affordable energy, clean energy","fossil fuel, coal, oil, non-renewable energy, pollution"
8,Decent Work and Economic Growth,"work, employment, job, economic growth, decent work, labor rights","unemployment, job loss, exploitation, poor working conditions"
9,Industry Innovation and Infrastructure,"industry, innovation, infrastructure, manufacturing, technology, research","industrial pollution, outdated technology, poor infrastructure"
10,Reduced Inequality,"inequality, equality, social justice, fair distribution, inclusion","discrimination, segregation, exclusion, social injustice"
11,Sustainable Cities and Communities,"cities, urban, sustainable, community, housing, transportation","urban sprawl, slum, pollution, unsustainable development"
12,Responsible Consumption and Production,"consumption, production, sustainable, waste reduction, recycling","waste, pollution, overconsumption, resource depletion"
13,Climate Action,"climate, carbon, emission, global warming, renewable energy, sustainability","climate denial, pollution, fossil fuel, carbon intensive"
14,Life Below Water,"ocean, marine, water, sea, aquatic, coral reef, biodiversity","pollution, overfishing, ocean acidification, plastic waste"
15,Life on Land,"land, forest, biodiversity, ecosystem, wildlife, conservation","deforestation, habitat loss, extinction, land degradation"
16,Peace Justice and Strong Institutions,"peace, justice, institutions, governance, rule of law, human rights","conflict, war, corruption, injustice, weak institutions"
17,Partnerships for the Goals,"partnership, collaboration, global partnership, cooperation","isolation, unilateralism, lack of cooperation"
